Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,chip_antibody,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Ecotype,Experiment,genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR4430537,ChIP-Seq,200,2916988600,PRJNA349052,SAMN05919209,1760908342,GEO,AtCENH3 (Steve Henikoff lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250913,wild type,GSM2354111,Illumina HiSeq 2500,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T17:56:00Z,1,GSM2354111,Wild-type A. thaliana Col seedlings,SRP091720
SRR4430539,ChIP-Seq,200,3916567800,PRJNA349052,SAMN05919197,2372959532,GEO,AtCENH3 (Steve Henikoff lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250914,wild type,GSM2354114,Illumina HiSeq 2500,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T17:59:00Z,1,GSM2354114,Wild-type A. thaliana Col seedlings,SRP091720
SRR4430541,ChIP-Seq,200,3068504600,PRJNA349052,SAMN05919181,1899661337,GEO,AtCENH3 (Steve Henikoff lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250915,"cenh3-1/cenh3-1\, L. oleraceum CENH3",GSM2354116,Illumina HiSeq 2500,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T17:56:00Z,1,GSM2354116,A. thaliana cenh3-1/cenh3-1LoCENH3 seedlings,SRP091720
SRR4430543,ChIP-Seq,200,7818682000,PRJNA349052,SAMN05919172,2860908696,GEO,LoCENH3 (this study),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250916,"cenh3-1/cenh3-1\, L. oleraceum CENH3",GSM2354119,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:06:00Z,1,GSM2354119,A. thaliana cenh3-1/cenh3-1LoCENH3 seedlings,SRP091720
SRR4430545,ChIP-Seq,200,8141244600,PRJNA349052,SAMN05919163,2984673616,GEO,LoCENH3 (this study),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250917,"cenh3-1/cenh3-1\, L. oleraceum CENH3",GSM2354121,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:06:00Z,1,GSM2354121,A. thaliana cenh3-1/cenh3-1LoCENH3 seedlings,SRP091720
SRR4430547,ChIP-Seq,200,5448477000,PRJNA349052,SAMN05919138,2045317879,GEO,LoCENH3 (this study),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250918,"cenh3-1/cenh3-1\, Z. maysCENH3",GSM2354122,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:02:00Z,1,GSM2354122,A. thaliana cenh3-1/cenh3-1ZmCENH3 seedlings,SRP091720
SRR4430549,ChIP-Seq,200,5478447400,PRJNA349052,SAMN05919125,2035214600,GEO,ZmCENH3 (Kelly Dawe lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250919,"cenh3-1/cenh3-1\, Z. maysCENH3",GSM2354123,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:02:00Z,1,GSM2354123,A. thaliana cenh3-1/cenh3-1ZmCENH3 seedlings,SRP091720
SRR4430551,ChIP-Seq,200,6699957400,PRJNA349052,SAMN05919108,2497702477,GEO,ZmCENH3 (Kelly Dawe lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250920,"cenh3-1/cenh3-1\, Z. maysCENH3",GSM2354124,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:05:00Z,1,GSM2354124,A. thaliana cenh3-1/cenh3-1ZmCENH3 seedlings,SRP091720
SRR4430553,ChIP-Seq,200,6439198600,PRJNA349052,SAMN05919092,2484005314,GEO,ZmCENH3 (Kelly Dawe lab),public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250921,wild type,GSM2354125,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:02:00Z,1,GSM2354125,Wild-type A. thaliana Col seedlings,SRP091720
SRR4430555,ChIP-Seq,200,3819348200,PRJNA349052,SAMN05919072,2274409380,GEO,none,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250922,wild type,GSM2354126,Illumina HiSeq 2500,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T17:57:00Z,1,GSM2354126,Wild-type A. thaliana Col seedlings,SRP091720
SRR4430557,ChIP-Seq,200,7390176000,PRJNA349052,SAMN05919056,2797303390,GEO,none,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Columbia,SRX2250923,"cenh3-1/cenh3-1\, L. oleraceum CENH3",GSM2354127,Illumina HiSeq 4000,PAIRED,ChIP,GENOMIC,Arabidopsis thaliana,ILLUMINA,2016-10-20T00:00:00Z,2016-10-18T18:12:00Z,1,GSM2354127,A. thaliana cenh3-1/cenh3-1LoCENH3 seedlings,SRP091720
